id,name,type,location,prefecture,rank,school_strength
171,山形中央高等学校,高校,山形県山形,山形県,中堅,50
172,米沢新高等学校,高校,山形県米沢,山形県,中堅,50
173,鶴岡総合高等学校,高校,山形県鶴岡,山形県,中堅,50
174,酒田第一高等学校,高校,山形県酒田,山形県,弱小,50
175,新庄第二高等学校,高校,山形県新庄,山形県,弱小,50
176,寒河江商業高等学校,高校,山形県寒河江,山形県,弱小,50
177,上山市工業高等学校,高校,山形県上山市,山形県,弱小,50
178,長井農業高等学校,高校,山形県長井,山形県,弱小,50
179,天童総合高等学校,高校,山形県天童,山形県,弱小,50
180,東根普通高等学校,高校,山形県東根,山形県,弱小,50
181,山形商業高等学校,高校,山形県山形,山形県,弱小,50
182,米沢工業高等学校,高校,山形県米沢,山形県,弱小,50
183,鶴岡農業高等学校,高校,山形県鶴岡,山形県,弱小,50
184,酒田総合高等学校,高校,山形県酒田,山形県,弱小,50
185,新庄普通高等学校,高校,山形県新庄,山形県,弱小,50
186,寒河江東高等学校,高校,山形県寒河江,山形県,弱小,50
187,上山市西高等学校,高校,山形県上山市,山形県,弱小,50
188,長井南高等学校,高校,山形県長井,山形県,弱小,50
189,天童北高等学校,高校,山形県天童,山形県,弱小,50
190,東根中央高等学校,高校,山形県東根,山形県,弱小,50
191,山形新高等学校,高校,山形県山形,山形県,弱小,50
192,米沢東高等学校,高校,山形県米沢,山形県,弱小,50
193,聖光高校,高校,福島県伊達市,福島県,名門,50
194,会津北稜高校,高校,福島県会津若山,福島県,名門,50
195,白本大学東北高校,高校,福島県郡山,福島県,強豪,50
196,いわき第二高等学校,高校,福島県いわき,福島県,強豪,50
197,白河第三高等学校,高校,福島県白河,福島県,強豪,50
198,須賀川第四高等学校,高校,福島県須賀川,福島県,強豪,50
199,二本松東高等学校,高校,福島県二本松,福島県,中堅,50
200,田村西高等学校,高校,福島県田村,福島県,中堅,50
201,南相馬南高等学校,高校,福島県南相馬,福島県,中堅,50
202,伊達北高等学校,高校,福島県伊達,福島県,中堅,50
203,福島中央高等学校,高校,福島県福島,福島県,中堅,50
204,会津若松新高等学校,高校,福島県会津若松,福島県,中堅,50
205,郡山総合高等学校,高校,福島県郡山,福島県,中堅,50
206,いわき第一高等学校,高校,福島県いわき,福島県,弱小,50
207,白河第二高等学校,高校,福島県白河,福島県,弱小,50
208,須賀川商業高等学校,高校,福島県須賀川,福島県,弱小,50
209,二本松工業高等学校,高校,福島県二本松,福島県,弱小,50
210,田村農業高等学校,高校,福島県田村,福島県,弱小,50
211,南相馬総合高等学校,高校,福島県南相馬,福島県,弱小,50
212,伊達普通高等学校,高校,福島県伊達,福島県,弱小,50
213,福島商業高等学校,高校,福島県福島,福島県,弱小,50
214,会津若松工業高等学校,高校,福島県会津若松,福島県,弱小,50
215,郡山農業高等学校,高校,福島県郡山,福島県,弱小,50
216,いわき総合高等学校,高校,福島県いわき,福島県,弱小,50
217,白河普通高等学校,高校,福島県白河,福島県,弱小,50
218,須賀川東高等学校,高校,福島県須賀川,福島県,弱小,50
219,二本松西高等学校,高校,福島県二本松,福島県,弱小,50
220,田村南高等学校,高校,福島県田村,福島県,弱小,50
221,南相馬北高等学校,高校,福島県南相馬,福島県,弱小,50
222,伊達中央高等学校,高校,福島県伊達,福島県,弱小,50
223,福島新高等学校,高校,福島県福島,福島県,弱小,50
224,会津若松東高等学校,高校,福島県会津若松,福島県,弱小,50
225,明晰学院日立高校,高校,茨城県日立,茨城県,名門,50
226,土浦白本大学高校,高校,茨城県土浦市,茨城県,名門,50
227,つくば秀栄高校,高校,茨城県つくば市,茨城県,強豪,50
228,古河第二高等学校,高校,茨城県古河,茨城県,強豪,50
229,石岡第三高等学校,高校,茨城県石岡,茨城県,強豪,50
230,結城第四高等学校,高校,茨城県結城,茨城県,強豪,50
231,下妻東高等学校,高校,茨城県下妻,茨城県,中堅,50
232,常総西高等学校,高校,茨城県常総,茨城県,中堅,50
233,常陸太田南高等学校,高校,茨城県常陸太田,茨城県,中堅,50
234,高萩北高等学校,高校,茨城県高萩,茨城県,中堅,50
235,水戸中央高等学校,高校,茨城県水戸,茨城県,中堅,50
236,日立新高等学校,高校,茨城県日立,茨城県,中堅,50
237,土浦総合高等学校,高校,茨城県土浦,茨城県,中堅,50
238,古河第一高等学校,高校,茨城県古河,茨城県,弱小,50
239,石岡第二高等学校,高校,茨城県石岡,茨城県,弱小,50
240,結城商業高等学校,高校,茨城県結城,茨城県,弱小,50
241,下妻工業高等学校,高校,茨城県下妻,茨城県,弱小,50
242,常総農業高等学校,高校,茨城県常総,茨城県,弱小,50
243,常陸太田総合高等学校,高校,茨城県常陸太田,茨城県,弱小,50
244,高萩普通高等学校,高校,茨城県高萩,茨城県,弱小,50
245,水戸商業高等学校,高校,茨城県水戸,茨城県,弱小,50
246,日立工業高等学校,高校,茨城県日立,茨城県,弱小,50
247,土浦農業高等学校,高校,茨城県土浦,茨城県,弱小,50
248,古河総合高等学校,高校,茨城県古河,茨城県,弱小,50
249,石岡普通高等学校,高校,茨城県石岡,茨城県,弱小,50
250,結城東高等学校,高校,茨城県結城,茨城県,弱小,50
251,下妻西高等学校,高校,茨城県下妻,茨城県,弱小,50
252,常総南高等学校,高校,茨城県常総,茨城県,弱小,50
253,常陸太田北高等学校,高校,茨城県常陸太田,茨城県,弱小,50
254,高萩中央高等学校,高校,茨城県高萩,茨城県,弱小,50
255,水戸新高等学校,高校,茨城県水戸,茨城県,弱小,50
256,日立東高等学校,高校,茨城県日立,茨城県,弱小,50
257,作申学園高校,高校,栃木県宇都宮,栃木県,名門,50
258,黒学院大学栃木高校,高校,栃木県栃木,栃木県,名門,50
259,栃木第一高等学校,高校,栃木県栃木,栃木県,強豪,50
260,佐野第二高等学校,高校,栃木県佐野,栃木県,強豪,50
261,鹿沼第三高等学校,高校,栃木県鹿沼,栃木県,強豪,50
262,日光第四高等学校,高校,栃木県日光,栃木県,強豪,50
263,小山市東高等学校,高校,栃木県小山市,栃木県,中堅,50
264,真岡西高等学校,高校,栃木県真岡,栃木県,中堅,50
265,大田原南高等学校,高校,栃木県大田原,栃木県,中堅,50
266,矢板北高等学校,高校,栃木県矢板,栃木県,中堅,50
267,宇都宮中央高等学校,高校,栃木県宇都宮,栃木県,中堅,50
268,足利新高等学校,高校,栃木県足利,栃木県,中堅,50
269,栃木総合高等学校,高校,栃木県栃木,栃木県,中堅,50
270,佐野第一高等学校,高校,栃木県佐野,栃木県,弱小,50
271,鹿沼第二高等学校,高校,栃木県鹿沼,栃木県,弱小,50
272,日光商業高等学校,高校,栃木県日光,栃木県,弱小,50
273,小山市工業高等学校,高校,栃木県小山市,栃木県,弱小,50
274,真岡農業高等学校,高校,栃木県真岡,栃木県,弱小,50
275,大田原総合高等学校,高校,栃木県大田原,栃木県,弱小,50
276,矢板普通高等学校,高校,栃木県矢板,栃木県,弱小,50
277,宇都宮商業高等学校,高校,栃木県宇都宮,栃木県,弱小,50
278,足利工業高等学校,高校,栃木県足利,栃木県,弱小,50
279,栃木農業高等学校,高校,栃木県栃木,栃木県,弱小,50
280,佐野総合高等学校,高校,栃木県佐野,栃木県,弱小,50
281,鹿沼普通高等学校,高校,栃木県鹿沼,栃木県,弱小,50
282,日光東高等学校,高校,栃木県日光,栃木県,弱小,50
283,小山市西高等学校,高校,栃木県小山市,栃木県,弱小,50
284,真岡南高等学校,高校,栃木県真岡,栃木県,弱小,50
285,大田原北高等学校,高校,栃木県大田原,栃木県,弱小,50
286,矢板中央高等学校,高校,栃木県矢板,栃木県,弱小,50
287,宇都宮新高等学校,高校,栃木県宇都宮,栃木県,弱小,50
288,足利東高等学校,高校,栃木県足利,栃木県,弱小,50
289,剣代高崎高校,高校,群馬県高崎市,群馬県,名門,50
290,前橋北栄高校,高校,群馬県前橋市,群馬県,名門,50
291,桐生第二高校,高校,群馬県桐生市,群馬県,強豪,50
292,前橋商業高校,高校,群馬県前橋市,群馬県,強豪,50
293,太田第三高等学校,高校,群馬県太田,群馬県,強豪,50
294,沼田第四高等学校,高校,群馬県沼田,群馬県,強豪,50
295,館林東高等学校,高校,群馬県館林,群馬県,中堅,50
296,渋川西高等学校,高校,群馬県渋川,群馬県,中堅,50
297,藤岡南高等学校,高校,群馬県藤岡,群馬県,中堅,50
298,富岡北高等学校,高校,群馬県富岡,群馬県,中堅,50
299,前橋中央高等学校,高校,群馬県前橋,群馬県,中堅,50
300,高崎新高等学校,高校,群馬県高崎,群馬県,中堅,50
301,桐生総合高等学校,高校,群馬県桐生,群馬県,中堅,50
302,伊勢崎第一高等学校,高校,群馬県伊勢崎,群馬県,弱小,50
303,太田第二高等学校,高校,群馬県太田,群馬県,弱小,50
304,沼田商業高等学校,高校,群馬県沼田,群馬県,弱小,50
305,館林工業高等学校,高校,群馬県館林,群馬県,弱小,50
306,渋川農業高等学校,高校,群馬県渋川,群馬県,弱小,50
307,藤岡総合高等学校,高校,群馬県藤岡,群馬県,弱小,50
308,富岡普通高等学校,高校,群馬県富岡,群馬県,弱小,50
309,前橋商業高等学校,高校,群馬県前橋,群馬県,弱小,50
310,高崎工業高等学校,高校,群馬県高崎,群馬県,弱小,50
311,桐生農業高等学校,高校,群馬県桐生,群馬県,弱小,50
312,伊勢崎総合高等学校,高校,群馬県伊勢崎,群馬県,弱小,50
313,太田普通高等学校,高校,群馬県太田,群馬県,弱小,50
314,沼田東高等学校,高校,群馬県沼田,群馬県,弱小,50
315,館林西高等学校,高校,群馬県館林,群馬県,弱小,50
316,渋川南高等学校,高校,群馬県渋川,群馬県,弱小,50
317,藤岡北高等学校,高校,群馬県藤岡,群馬県,弱小,50
318,富岡中央高等学校,高校,群馬県富岡,群馬県,弱小,50
319,前橋新高等学校,高校,群馬県前橋,群馬県,弱小,50
320,高崎東高等学校,高校,群馬県高崎,群馬県,弱小,50
321,花咲栄学園,高校,埼玉県加須市,埼玉県,名門,50
322,浦和学園,高校,埼玉県浦和,埼玉県,名門,50
323,浦和実業高校,高校,埼玉県浦和,埼玉県,強豪,50
324,春日部協栄学院,高校,埼玉県春日部,埼玉県,強豪,50
325,正平高校,高校,埼玉県杉戸,埼玉県,強豪,50
326,春日部第四高等学校,高校,埼玉県春日部,埼玉県,強豪,50
327,上尾東高等学校,高校,埼玉県上尾,埼玉県,中堅,50
328,新座西高等学校,高校,埼玉県新座,埼玉県,中堅,50
329,久喜南高等学校,高校,埼玉県久喜,埼玉県,中堅,50
330,北本市北高等学校,高校,埼玉県北本市,埼玉県,中堅,50
331,さいたま中央高等学校,高校,埼玉県さいたま,埼玉県,中堅,50
332,川越新高等学校,高校,埼玉県川越,埼玉県,中堅,50
333,所沢総合高等学校,高校,埼玉県所沢,埼玉県,中堅,50
334,越谷第一高等学校,高校,埼玉県越谷,埼玉県,弱小,50
335,草加第二高等学校,高校,埼玉県草加,埼玉県,弱小,50
336,春日部商業高等学校,高校,埼玉県春日部,埼玉県,弱小,50
337,上尾工業高等学校,高校,埼玉県上尾,埼玉県,弱小,50
338,新座農業高等学校,高校,埼玉県新座,埼玉県,弱小,50
339,久喜総合高等学校,高校,埼玉県久喜,埼玉県,弱小,50
340,北本市普通高等学校,高校,埼玉県北本市,埼玉県,弱小,50
341,さいたま商業高等学校,高校,埼玉県さいたま,埼玉県,弱小,50
342,川越工業高等学校,高校,埼玉県川越,埼玉県,弱小,50
343,所沢農業高等学校,高校,埼玉県所沢,埼玉県,弱小,50
344,越谷総合高等学校,高校,埼玉県越谷,埼玉県,弱小,50
345,草加普通高等学校,高校,埼玉県草加,埼玉県,弱小,50
346,春日部東高等学校,高校,埼玉県春日部,埼玉県,弱小,50
347,上尾西高等学校,高校,埼玉県上尾,埼玉県,弱小,50
348,新座南高等学校,高校,埼玉県新座,埼玉県,弱小,50
349,久喜北高等学校,高校,埼玉県久喜,埼玉県,弱小,50
350,北本市中央高等学校,高校,埼玉県北本市,埼玉県,弱小,50
351,さいたま新高等学校,高校,埼玉県さいたま,埼玉県,弱小,50
352,川越東高等学校,高校,埼玉県川越,埼玉県,弱小,50
353,市立船橋高校,高校,千葉県船橋,千葉県,名門,50
354,木更津高校,高校,千葉県木更津,千葉県,名門,50
355,習志野高校,高校,千葉県習志野,千葉県,強豪,50
356,八千代高校,高校,千葉県八千代市,千葉県,強豪,50
357,専洲大学松戸高校,高校,千葉県松戸,千葉県,強豪,50
358,佐倉第四高等学校,高校,千葉県佐倉,千葉県,強豪,50
359,成田東高等学校,高校,千葉県成田,千葉県,中堅,50
360,習志野西高等学校,高校,千葉県習志野,千葉県,中堅,50
361,八千代南高等学校,高校,千葉県八千代,千葉県,中堅,50
362,流山北高等学校,高校,千葉県流山,千葉県,中堅,50
363,千葉中央高等学校,高校,千葉県千葉,千葉県,中堅,50
364,船橋新高等学校,高校,千葉県船橋,千葉県,中堅,50
365,柏総合高等学校,高校,千葉県柏,千葉県,中堅,50
366,市川第一高等学校,高校,千葉県市川,千葉県,弱小,50
367,松戸第二高等学校,高校,千葉県松戸,千葉県,弱小,50
368,佐倉商業高等学校,高校,千葉県佐倉,千葉県,弱小,50
369,成田工業高等学校,高校,千葉県成田,千葉県,弱小,50
370,習志野農業高等学校,高校,千葉県習志野,千葉県,弱小,50
371,八千代総合高等学校,高校,千葉県八千代,千葉県,弱小,50
372,流山普通高等学校,高校,千葉県流山,千葉県,弱小,50
373,千葉商業高等学校,高校,千葉県千葉,千葉県,弱小,50
374,船橋工業高等学校,高校,千葉県船橋,千葉県,弱小,50
375,柏農業高等学校,高校,千葉県柏,千葉県,弱小,50
376,市川総合高等学校,高校,千葉県市川,千葉県,弱小,50
377,松戸普通高等学校,高校,千葉県松戸,千葉県,弱小,50
378,佐倉東高等学校,高校,千葉県佐倉,千葉県,弱小,50
379,成田西高等学校,高校,千葉県成田,千葉県,弱小,50
380,習志野南高等学校,高校,千葉県習志野,千葉県,弱小,50
381,八千代北高等学校,高校,千葉県八千代,千葉県,弱小,50
382,流山中央高等学校,高校,千葉県流山,千葉県,弱小,50
383,千葉新高等学校,高校,千葉県千葉,千葉県,弱小,50
384,船橋東高等学校,高校,千葉県船橋,千葉県,弱小,50
385,関東圏第一高校,高校,東京都江戸川区,東京都,名門,50
386,白大第三高校,高校,東京都町田,東京都,名門,50
387,帝教高校,高校,東京都板橋区,東京都,強豪,50
388,東浜大学菅生高校,高校,東京都あきる野市,東京都,強豪,50
389,早稲大学付属高校,高校,東京都国分寺,東京都,強豪,50
390,国土館高校,高校,東京都世田谷,東京都,強豪,50
391,台東東高等学校,高校,東京都台東,東京都,中堅,50
392,墨田西高等学校,高校,東京都墨田,東京都,中堅,50
393,江東南高等学校,高校,東京都江東,東京都,中堅,50
394,品川北高等学校,高校,東京都品川,東京都,中堅,50
395,新宿中央高等学校,高校,東京都新宿,東京都,中堅,50
396,渋谷新高等学校,高校,東京都渋谷,東京都,中堅,50
397,港総合高等学校,高校,東京都港,東京都,中堅,50
398,千代田第一高等学校,高校,東京都千代田,東京都,弱小,50
399,中央第二高等学校,高校,東京都中央,東京都,弱小,50
400,文京商業高等学校,高校,東京都文京,東京都,弱小,50
401,台東工業高等学校,高校,東京都台東,東京都,弱小,50
402,墨田農業高等学校,高校,東京都墨田,東京都,弱小,50
403,江東総合高等学校,高校,東京都江東,東京都,弱小,50
404,品川普通高等学校,高校,東京都品川,東京都,弱小,50
405,新宿商業高等学校,高校,東京都新宿,東京都,弱小,50
406,渋谷工業高等学校,高校,東京都渋谷,東京都,弱小,50
407,港農業高等学校,高校,東京都港,東京都,弱小,50
408,千代田総合高等学校,高校,東京都千代田,東京都,弱小,50
409,中央普通高等学校,高校,東京都中央,東京都,弱小,50
410,文京東高等学校,高校,東京都文京,東京都,弱小,50
411,台東西高等学校,高校,東京都台東,東京都,弱小,50
412,墨田南高等学校,高校,東京都墨田,東京都,弱小,50
413,江東北高等学校,高校,東京都江東,東京都,弱小,50
414,品川中央高等学校,高校,東京都品川,東京都,弱小,50
415,新宿新高等学校,高校,東京都新宿,東京都,弱小,50
416,渋谷東高等学校,高校,東京都渋谷,東京都,弱小,50
417,横浜学園高校,高校,神奈川県横浜,神奈川県,名門,50
418,東浜大相模高校,高校,神奈川県相模原,神奈川県,名門,50
419,慶王高校,高校,神奈川県横浜,神奈川県,強豪,50
420,白本大学藤沢高校,高校,神奈川県藤沢,神奈川県,強豪,50
421,桐光高校,高校,神奈川県川崎,神奈川県,強豪,50
422,桐蔭高校,高校,神奈川県横浜,神奈川県,強豪,50
423,厚木東高等学校,高校,神奈川県厚木,神奈川県,中堅,50
424,大和西高等学校,高校,神奈川県大和,神奈川県,中堅,50
425,海老名南高等学校,高校,神奈川県海老名,神奈川県,中堅,50
